Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
592234,Jankovice,380,243,243,17,0,0,21,0,12,27,1,2,1,0,0,18,1,6,83,0,1,14,1,0,1,37,0
592269,Kněžpole,886,632,627,55,0,0,37,1,27,61,3,2,15,0,0,44,0,11,180,0,1,125,2,5,0,57,1
592277,Komňa,449,326,324,108,1,0,18,0,9,32,4,0,2,0,0,16,0,2,74,0,0,17,2,0,1,31,7
592285,Korytná,783,493,492,22,1,0,41,0,54,51,2,4,3,0,2,22,1,16,155,0,0,51,6,0,0,57,4
592293,Kostelany nad Moravou,749,476,473,47,0,0,25,0,26,36,7,3,4,0,0,37,0,8,139,0,2,68,1,0,1,68,1
592307,Košíky,334,201,201,12,0,0,9,0,19,22,2,1,5,0,1,18,0,3,57,0,0,16,0,0,0,35,1
592323,Kudlovice,788,492,490,42,0,0,34,1,34,31,3,4,12,0,0,45,0,20,146,1,0,39,1,3,0,73,1
550744,Kunovice,4489,2776,2760,309,1,1,204,1,221,184,35,13,53,2,7,234,6,73,754,2,2,302,16,4,2,322,12
592340,Lopeník,190,106,104,15,0,0,10,0,6,7,4,1,4,0,0,7,0,5,25,0,1,4,1,0,0,14,0
592366,Medlovice,384,230,227,15,0,0,12,0,7,29,6,3,4,0,0,16,1,6,60,0,1,24,1,0,1,32,9
592382,Mistřice,926,583,580,74,0,0,28,1,32,55,4,1,5,0,1,30,0,12,169,0,0,95,7,0,1,64,1
592391,Modrá,570,398,396,28,0,0,20,0,24,26,5,0,6,1,1,33,1,22,91,0,0,100,3,0,0,34,1
592404,Nedachlebice,650,446,441,23,0,0,30,1,21,68,3,6,4,0,0,25,0,2,92,0,0,99,3,1,1,60,2
592412,Nedakonice,1271,824,819,81,1,1,44,0,56,105,6,3,8,0,2,65,0,25,230,2,1,94,4,1,1,83,6
592421,Nezdenice,622,413,412,28,0,0,40,0,19,50,7,2,6,1,0,34,3,4,101,0,1,34,40,0,1,40,1
592439,Nivnice,2685,1773,1761,146,1,1,160,0,180,105,26,13,38,1,0,126,0,23,415,0,4,296,9,1,2,205,9
592447,Ořechov,590,378,377,42,0,0,14,0,37,21,3,0,5,0,0,31,0,15,97,0,0,69,3,0,2,38,0
592455,Ostrožská Lhota,1212,791,788,48,0,0,48,0,29,98,12,2,8,0,0,43,0,16,214,0,1,176,8,3,0,78,4
592463,Ostrožská Nová Ves,2813,1781,1770,204,2,0,96,0,83,153,18,7,36,1,2,141,2,44,473,2,2,236,8,5,1,245,9
592471,Osvětimany,707,434,429,33,2,0,19,0,11,46,2,2,14,0,0,24,0,13,103,1,1,26,8,0,1,58,65
592480,Pašovice,594,397,397,25,0,0,12,0,24,28,4,2,9,2,1,32,1,4,141,0,0,49,3,3,0,56,1
592498,Pitín,745,464,463,38,1,1,29,1,17,71,1,1,6,1,1,37,0,7,87,0,1,102,4,0,0,55,2
592501,Podolí,694,420,417,43,0,0,24,0,44,26,2,4,9,4,1,32,0,13,120,0,0,35,4,0,0,50,6
592510,Polešovice,1616,1037,1032,134,0,1,65,0,129,54,7,4,16,0,4,70,3,26,276,0,3,137,3,1,2,93,4
592528,Popovice,863,589,586,46,1,0,29,0,46,66,6,6,7,0,0,48,1,16,150,1,2,96,0,2,1,55,7
592536,Prakšice,813,561,561,40,0,0,46,1,25,25,6,2,12,0,1,51,0,13,133,0,0,123,6,2,0,72,3
592552,Rudice,374,245,245,17,1,0,20,0,14,33,3,4,5,0,0,23,0,3,56,0,0,18,9,1,0,34,4
592561,Salaš,327,206,203,19,0,0,14,0,10,27,2,0,3,0,1,12,0,5,53,0,0,22,2,0,1,30,2
592579,Slavkov,551,326,325,32,0,0,29,0,12,35,2,0,4,0,4,14,0,9,122,0,1,14,1,0,0,41,5
592587,Staré Hutě,116,81,81,5,0,0,6,0,6,14,5,0,0,0,0,9,0,4,15,0,0,5,0,0,0,8,4
550752,Staré Město,5448,3536,3499,401,6,5,197,0,285,248,39,11,66,4,2,318,2,92,796,2,4,553,18,6,3,425,16
592609,Starý Hrozenkov,715,444,439,30,1,0,15,0,5,54,3,2,3,0,0,30,0,24,130,0,1,64,1,2,1,72,1
592617,Strání,2916,1656,1640,88,2,0,109,0,56,144,16,12,16,0,1,68,5,19,332,0,3,528,6,2,0,209,24
592625,Stříbrnice,349,217,216,38,1,1,19,0,6,24,2,3,2,1,0,22,0,7,49,0,0,14,2,0,2,21,2
592633,Stupava,140,110,103,8,0,0,6,0,4,14,0,4,1,2,0,8,0,2,34,0,0,3,0,0,0,15,2
592641,Suchá Loz,876,592,590,8,1,0,31,0,209,31,2,3,3,0,0,20,0,8,134,0,0,77,1,0,0,60,2
592650,Sušice,502,352,350,27,0,0,30,1,19,24,9,0,4,0,0,23,0,8,119,1,0,28,3,0,0,51,3
592668,Svárov,213,140,139,11,0,0,9,0,13,16,0,2,0,0,0,10,0,3,31,0,0,30,0,0,2,10,2
592676,Šumice,1353,869,865,50,2,2,48,0,39,61,14,8,9,3,2,71,1,18,219,0,1,209,8,2,0,92,6
592692,Topolná,1342,862,857,61,2,0,44,0,61,97,3,6,14,1,1,81,0,11,212,0,0,155,10,2,3,90,3
592706,Traplice,956,584,582,44,0,0,49,0,34,61,5,6,11,0,0,38,2,22,172,1,4,58,2,0,1,67,5
592714,Tučapy,199,123,121,13,1,1,10,0,8,6,3,0,2,0,0,5,0,5,31,0,0,16,0,0,0,19,1
592722,Tupesy,898,560,557,43,0,0,36,0,37,44,7,1,5,4,0,49,0,13,156,1,1,76,2,0,1,77,4
592005,Uherské Hradiště,20799,12977,12903,1973,15,7,1018,11,766,1013,211,49,214,14,7,1353,15,535,3166,3,11,1087,113,21,12,1228,61
592731,Uherský Brod,13772,8539,8501,791,6,7,663,4,577,583,88,45,132,12,8,720,3,249,2153,6,12,1144,76,8,10,1143,61
592749,Uherský Ostroh,3596,2158,2139,186,2,0,241,0,74,176,28,8,23,3,1,186,1,70,546,3,3,274,10,1,2,282,19
592757,Újezdec,185,108,108,1,0,1,9,0,1,12,0,0,0,0,0,11,0,2,35,0,1,12,0,0,0,21,2
592773,Vápenice,168,113,112,2,0,0,12,0,5,10,1,0,1,0,0,4,0,3,22,0,0,27,1,0,0,24,0
592781,Vážany,345,240,234,19,0,0,9,0,19,14,1,2,10,0,0,14,0,6,66,0,0,42,1,0,0,28,3
592790,Velehrad,993,605,602,62,1,0,32,0,40,76,1,1,6,0,1,44,2,19,128,0,0,134,4,0,1,48,2
592803,Veletiny,458,332,332,48,0,0,20,0,16,35,0,2,2,0,0,17,0,12,54,0,0,67,3,1,2,43,10
592820,Vlčnov,2481,1618,1607,236,6,0,109,3,123,114,21,5,19,0,2,123,2,46,372,1,6,222,3,1,3,181,9
592838,Vyškovec,128,63,61,2,0,0,6,1,2,9,3,1,0,0,0,3,0,1,11,0,0,5,0,0,1,16,0
592846,Záhorovice,878,538,535,54,2,0,42,0,23,48,9,0,5,1,0,42,0,5,153,0,0,57,4,0,2,81,7
592854,Zlámanec,250,163,163,13,0,0,15,0,3,11,5,0,1,0,0,8,0,1,48,0,1,34,2,0,0,17,4
592862,Zlechov,1351,834,828,78,0,0,57,0,36,77,7,5,7,0,1,80,0,12,276,1,2,94,4,0,0,90,1
592871,Žítková,140,94,93,5,0,0,5,0,7,10,1,2,0,0,0,7,0,3,22,0,0,15,2,0,0,13,1
